Date,Time,Latitude,Longitude,Pitch (degrees),Roll (degrees),Heading (degrees Magnetic),Heave,Temperature in electronics box (degrees C),"Acceleration x, forward (G)","Acceleration y, starboard (G)","Acceleration z, down (G)",Yaw rate [degrees/s],Control Mode,Thrust (% Thrust),Thrust difference (% Thrust),Date (MMDDYY),Time (HHMMSS),Temperature (C),Specific Conductance (uS/cm),Salinity (PPT),Pressure (psia),Depth (m),Chlorophyll (ug/L),ODO (%Sat),ODO (mg/L),Turbidity (FNU),Wiper Position (V)
20260901,115314,25.912541518333335,-80.13768081833334,-2.5,-0.8,11.5,0.0,43.1,-0.03,0.02,-0.98,0.86,Waypoint,-0.3,64.1,90126.0,115237.0,29.864,46872.57,30.32,-7.34,-5.066,1.25,82.01,5.26,-0.21,1.2
20260901,115314,25.912541518333335,-80.13768081833334,-2.5,-0.8,11.5,0.0,43.1,-0.03,0.02,-0.98,0.86,Waypoint,-0.3,64.1,90126.0,115237.0,29.864,46872.57,30.32,-5.86,-4.049,1.25,82.01,5.26,-0.21,1.2
20260901,115315,25.912540598333333,-80.13768186333333,-2.5,-0.8,11.5,0.0,43.1,-0.03,0.02,-0.98,0.86,Waypoint,-0.3,64.1,90126.0,115239.0,29.88,46876.63,30.32,0.04,0.029,1.03,82.01,5.26,-0.21,1.2
20260901,115459,25.91250288166667,-80.13754912166667,-2.5,-0.0,0.0,0.0,43.2,-0.04,-0.01,-1.01,-1.16,Waypoint,-0.3,-62.1,90126.0,115423.0,29.847,46674.62,30.18,-2.91,-2.008,1.14,80.77,5.19,0.03,1.2
20260901,115459,25.91250288166667,-80.13754912166667,-2.5,-0.0,0.0,0.0,43.2,-0.04,-0.01,-1.01,-1.16,Waypoint,-0.3,-62.1,90126.0,115423.0,29.847,46665.05,30.17,-1.43,-0.988,1.14,80.77,5.19,0.04,1.2
20260901,115500,25.912501673333335,-80.13754782333334,-2.0,0.3,345.5,0.0,43.2,0.09,-0.05,-0.94,-12.4,Waypoint,-5.2,-75.2,90126.0,115424.0,29.847,46648.98,30.16,0.04,0.03,1.11,80.76,5.19,0.02,1.2
20260901,115501,25.912500911666665,-80.13754494,-2.3,1.4,345.2,0.0,43.2,0.09,0.02,-1.01,-25.54,Waypoint,-5.2,-75.2,90126.0,115425.0,29.846,46606.44,30.13,0.05,0.032,1.08,80.75,5.18,0.02,1.2
20260901,115502,25.912501885,-80.13754247333334,-1.8,1.1,345.1,0.0,43.2,0.04,-0.2,-0.87,-27.95,Waypoint,-5.2,-75.2,90126.0,115426.0,29.845,46498.88,30.05,0.05,0.036,1.08,80.76,5.19,-0.03,1.2
20260901,115503,25.912503493333332,-80.13754189666666,-2.4,0.5,344.8,0.0,43.2,-0.08,-0.0,-0.88,-25.89,Waypoint,-5.9,-57.7,90126.0,115427.0,29.844,46416.34,29.99,0.05,0.037,1.09,80.78,5.19,-0.04,1.2
20260901,115504,25.912504431666665,-80.13754256833333,-2.2,-0.1,344.8,0.0,43.3,-0.09,0.14,-0.97,-17.86,Waypoint,-3.3,-47.2,90126.0,115428.0,29.841,46360.88,29.95,0.06,0.038,1.11,80.83,5.2,-0.05,1.2
20260901,115505,25.91250465,-80.13754324,-2.3,-0.3,344.7,0.0,43.3,-0.04,0.03,-0.97,-12.6,Waypoint,-2.6,-37.6,90126.0,115429.0,29.838,46406.5,29.99,0.06,0.039,1.12,80.9,5.2,-0.04,1.2
20260901,115506,25.912504675,-80.13754368333333,-1.9,0.2,344.7,0.0,43.3,-0.04,-0.05,-1.01,-9.11,Waypoint,5.8,-24.1,90126.0,115430.0,29.837,46480.65,30.04,0.05,0.038,1.09,81.01,5.21,-0.02,1.2
